Intensidad_base,Rango_base,Intensidad_prueba,Rango_prueba,X_control,Y_control,X_prueba,Y_prueba
162.65,0.9109800428152084,155.71,0.8754800420999527,0.3469554395718046,-0.8423221244625685,0.33343492564825267,-0.8094976556317375
172.46,0.9041400462388992,159.21,0.8817000406980514,0.3523995392702858,-0.8326366482055477,0.34365327518574157,-0.8119712976583954
186.86,0.898740046620369,162.99,0.8835400396585464,0.35826332420102613,-0.8242457533597692,0.3522041694515533,-0.810305636596937
164.71,0.894980041384697,152.98,0.8841600412130356,0.36466643646987523,-0.8173173585513257,0.36025774496531554,-0.8074362734422714
187.76,0.8961400437355042,152.83,0.8852800422906876,0.37301730224212626,-0.8148159732198906,0.36849683864984567,-0.8049415091690024
135.06,0.8991400462388992,126.87,0.8884600460529327,0.3821358031765652,-0.8138949875021293,0.37759678785179807,-0.8042275295190929
184.7,0.9180800408124924,129.97,0.905300042629242,0.3981845377569519,-0.8272363841306488,0.3926416684613416,-0.8157209617095796
209.69,0.9256400388479232,145.4,0.9216000419855118,0.4094911317386698,-0.8301364312845017,0.40770388959487863,-0.8265132641385159
164.69,0.91668004155159,132.93,0.918020042181015,0.4134396084439554,-0.8181503460542773,0.41404397344639,-0.8193463162172377
143.82,0.9098800432682036,123.49,0.9158400410413742,0.4181880579683755,-0.8080844270931019,0.420927320042204,-0.8133776318640401
139.76,0.9111000394821168,112.59,0.9116400438547134,0.42653565633819057,-0.8050904395261839,0.42678846185845143,-0.805567612546533
144.19,0.9277600419521332,106.06,0.9069200402498244,0.4422239534283206,-0.8155836379288457,0.43229040647057887,-0.7972634218878004
143.04,0.9205400425195694,97.5,0.9072400432825088,0.4465690939885037,-0.8049658465899144,0.44011704591345685,-0.7933356679436899
148.93,0.9358600413799286,97.94,0.9094400423765182,0.4618750178050131,-0.813944399193987,0.44883595536986987,-0.790966166055805
153.98,0.9859200429916382,88.67,0.8961600428819656,0.49483096770992513,-0.8527488754421741,0.44978063322119927,-0.7751130268788826
51.67,0.4733400237560272,85.06,0.8732800388336182,0.24150688627143105,-0.40709360345359696,0.44556372256069127,-0.7510599146293889
136.51,1.0557000470161435,90.76,0.9130800420045851,0.5473720868160306,-0.9027105781171236,0.47342474733685025,-0.7807587154275862
85.36,0.5017000234127045,96.48,0.9276200407743452,0.26425405530052626,-0.4264653652402908,0.4885934744137246,-0.7885146522459319
179.19,1.266700059175491,91.09,0.9147000408172608,0.6775495213028172,-1.0702596349005769,0.4892670291614318,-0.7728479403133873
196.8,1.0945000517368315,96.31,0.930060043334961,0.5943351982683475,-0.9190734656986083,0.505041017933056,-0.7809899195337748
203.58,1.174580056667328,101.09,0.9424800443649292,0.6473059496345572,-0.9801190321018807,0.5193966444996851,-0.7864450137858251
203.37,1.212980055809021,94.11,0.9434200471639632,0.6782016399860135,-1.005665526559769,0.5274851965769013,-0.7821769318914247
189.8,1.1816600561141968,87.62,0.8823800432682037,0.670110791731366,-0.9732790016336367,0.5003912811835538,-0.7267758295881054
185.98,1.17828005194664,94.67,0.9652800470590592,0.6775256730651312,-0.9640035493466907,0.5550480231754343,-0.7897387297197612
189.97,1.164720059633255,94.82,0.960120045542717,0.6788904399171004,-0.9464040299477062,0.5596334627369296,-0.7801544008964011
189.22,1.149780044555664,95.07,0.972760044336319,0.6791642571219868,-0.9277553894784792,0.5746002080988826,-0.7849182790010168
167.27,1.0269200444221496,100.07,0.963280044198036,0.6145578081931428,-0.8227292859895228,0.5764726045167943,-0.7717433380287736
